ID,Region,Sub-region,Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
1.2.7,Africa,AFR E,Eritrea,99,99,97,90,94,98,98,97,97,96,96,95,95,96,92,83,84,76,88,79,73,66,58,51,34,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.8,Africa,AFR E,Ethiopia,65,66,65,54,55,62,68,64,59,54,49,44,40,35,35,36,35,36,37,44,51,54,38,54,22,12,17,38,23,15,13,10,12,8,7,7,3,4
1.2.9,Africa,AFR E,Kenya,89,96,96,95,94,93,87,86,88,90,80,77,69,73,72,78,77,78,76,90,79,81,83,84,84,84,81,78,75,72,69,65,63,55,0,0,0,0
1.2.10,Africa,AFR E,Lesotho,90,90,90,90,90,91,92,88,84,80,81,82,83,84,85,78,70,74,77,79,80,82,83,82,82,81,81,80,79,79,78,76,73,63,53,51,49,49
1.2.11,Africa,AFR E,Malawi,83,81,87,85,88,90,96,93,92,88,83,85,82,80,77,69,81,73,82,90,87,90,90,83,87,91,85,81,84,82,79,60,49,50,58,64,64,49
1.2.12,Africa,AFR E,Mozambique,85,85,85,85,85,82,82,82,80,77,75,76,78,79,80,77,74,71,67,64,61,58,71,65,62,56,55,59,48,44,37,39,39,50,51,58,32,0
1.2.13,Africa,AFR E,Namibia,80,75,85,83,82,76,74,75,76,73,69,63,73,70,70,68,58,69,65,64,59,61,68,70,71,76,76,0,0,0,0,0,0,0,0,0,0,0
1.2.14,Africa,AFR E,Rwanda,95,95,96,97,95,97,95,95,95,92,94,95,89,84,90,69,69,74,78,72,66,76,84,25,74,82,89,83,83,79,78,79,52,53,53,48,42,0
1.2.15,Africa,AFR E,South Africa,60,75,76,71,66,68,68,64,70,67,63,65,62,62,62,65,69,72,75,79,82,76,76,76,85,85,85,79,84,68,75,64,70,70,74,0,0,0
1.2.16,Africa,AFR E,Eswatini,89,89,89,97,96,88,87,94,94,94,94,93,93,93,93,93,93,92,92,92,92,82,94,94,85,85,80,85,85,85,65,74,54,50,46,38,30,0
1.2.17,Africa,AFR E,Uganda,80,80,80,85,84,83,75,73,77,70,75,75,68,66,64,62,59,57,55,50,54,55,57,59,57,56,54,52,51,49,38,27,17,18,20,21,22,0
1.2.18,Africa,AFR E,United Republic of Tanzania,99,90,99,99,99,97,93,92,91,88,90,93,91,94,97,89,86,78,72,72,73,78,78,79,77,81,79,80,79,83,78,97,66,55,60,50,51,46
1.2.19,Africa,AFR E,Zambia,96,93,90,85,80,82,83,96,90,87,93,85,85,85,84,84,84,85,85,86,86,86,86,96,91,85,80,90,80,80,80,58,58,57,56,0,0,0
1.2.20,Africa,AFR E,Zimbabwe,90,95,86,92,93,97,92,90,76,70,69,68,67,66,68,70,73,75,77,79,84,88,87,87,86,86,87,87,87,88,88,83,78,62,60,58,56,0
2.1.1,Americas,AMR A,Canada,89,90,90,90,90,98,88,90,91,93,94,93,94,94,95,95,95,96,96,96,96,97,96,97,96,94,92,89,87,85,70,0,0,0,0,0,0,0
2.1.2,Americas,AMR A,Cuba,99,99,99,99,99,99,99,99,99,98,97,96,98,99,99,98,96,94,96,99,96,99,99,99,96,99,99,94,98,89,99,80,85,82,94,55,49,48
2.1.3,Americas,AMR A,United States of America,92,92,92,92,92,91,92,92,90,92,92,92,92,93,93,91,91,91,92,92,91,91,88,89,84,83,87,90,94,98,82,97,97,98,98,97,97,86
2.2.1,Americas,AMR B,Antigua and Barbuda,88,88,91,93,96,98,99,98,99,99,99,99,99,97,99,99,97,95,99,99,93,99,93,91,99,99,87,89,95,95,89,80,69,73,48,0,0,0
2.2.2,Americas,AMR B,Argentina,89,90,89,95,94,94,95,95,96,96,94,97,98,99,97,95,89,91,97,95,93,99,99,96,95,92,99,93,89,87,80,87,54,79,67,67,77,61
2.2.3,Americas,AMR B,Bahamas,90,89,94,92,92,91,90,94,98,90,96,88,85,89,90,94,94,93,86,92,93,92,90,88,88,94,93,86,87,78,87,85,79,63,66,65,0,0
2.2.4,Americas,AMR B,Barbados,92,92,96,95,87,90,93,85,94,94,75,92,93,98,90,91,93,94,86,97,92,99,92,97,92,90,92,87,85,84,85,84,88,84,55,53,47,41
2.2.5,Americas,AMR B,Belize,90,95,96,95,99,96,98,98,97,96,96,99,95,97,96,88,94,96,82,84,85,81,83,82,80,69,76,86,71,59,53,85,49,43,43,51,40,21
2.2.6,Americas,AMR B,Brazil,97,95,96,97,98,99,99,99,99,99,99,99,98,97,97,96,99,99,99,95,99,80,87,77,85,91,85,78,60,62,64,67,67,73,68,66,73,57
2.2.7,Americas,AMR B,Chile,93,93,96,97,90,90,91,93,93,96,92,91,90,94,96,95,96,97,94,98,96,93,97,96,94,89,99,97,92,95,92,91,92,94,95,96,95,94
2.2.8,Americas,AMR B,Colombia,93,93,94,91,92,94,88,88,89,95,93,95,96,94,93,93,93,88,79,78,80,90,95,84,94,74,78,82,81,74,59,45,51,51,43,28,26,13
2.2.9,Americas,AMR B,Costa Rica,96,93,93,95,91,90,83,83,81,89,90,90,89,88,89,94,82,82,88,83,99,84,91,87,89,92,96,90,77,97,93,90,78,76,84,87,79,60
2.2.10,Americas,AMR B,Dominica,77,96,96,94,93,99,99,99,99,99,96,97,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,88,88,90,87,97,93,85,63,43,0,0
2.2.11,Americas,AMR B,Dominican Republic,86,85,90,88,83,88,87,85,84,83,82,81,79,81,83,86,88,85,83,80,79,79,78,76,75,73,72,70,65,29,71,71,54,19,24,25,18,30
2.2.12,Americas,AMR B,El Salvador,85,90,95,95,94,93,89,92,91,95,99,98,99,93,90,93,95,97,94,99,98,94,93,80,86,55,54,98,73,63,48,51,71,41,46,43,44,45
2.2.13,Americas,AMR B,Grenada,85,95,99,94,94,94,95,95,98,99,98,98,99,74,99,96,99,92,94,97,92,85,88,87,99,73,96,85,89,48,77,62,49,31,7,5,0,0
2.2.14,Americas,AMR B,Guyana,99,99,99,99,99,99,98,95,97,95,96,90,92,88,89,93,92,86,87,93,82,91,77,83,92,73,76,73,69,55,52,42,40,56,51,68,0,0
2.2.15,Americas,AMR B,Honduras,97,97,97,97,97,97,97,97,97,93,94,95,95,91,94,97,99,98,98,98,89,91,89,93,94,89,86,90,94,76,57,60,53,44,49,48,34,31
2.2.16,Americas,AMR B,Jamaica,95,95,91,92,94,93,88,89,88,88,76,87,84,86,78,86,85,88,82,88,88,96,90,82,80,63,77,74,71,68,62,36,64,60,15,12,0,0
2.2.17,Americas,AMR B,Mexico,96,96,97,97,89,99,98,95,96,96,96,96,96,96,96,96,95,96,94,96,91,93,90,90,79,88,89,75,85,70,54,60,64,21,23,37,33,35
2.2.18,Americas,AMR B,Panama,98,95,93,90,92,98,97,97,96,96,95,95,99,97,95,95,95,97,90,96,92,90,84,84,83,76,80,73,73,73,78,74,84,72,85,64,76,71
2.2.19,Americas,AMR B,Paraguay,92,85,78,84,88,88,91,93,91,91,91,91,91,91,91,86,90,92,82,71,61,81,75,76,96,87,74,69,58,63,56,46,48,62,37,26,16,19
2.2.20,Americas,AMR B,Saint Kitts and Nevis,93,98,95,93,99,95,99,99,99,99,99,99,99,98,98,99,90,99,99,99,97,99,99,99,99,99,99,99,90,77,91,96,91,85,0,0,0,0
2.2.21,Americas,AMR B,Saint Lucia,87,99,97,99,99,99,91,95,99,99,94,94,94,95,90,98,89,88,95,90,95,95,94,92,94,75,97,82,91,83,81,91,68,60,36,43,0,0
2.2.22,Americas,AMR B,Saint Vincent and the Grenadines,99,99,99,99,99,94,97,99,99,99,99,99,97,99,94,99,98,96,87,99,99,99,99,99,99,99,99,96,99,97,91,88,74,92,59,40,0,0
2.2.23,Americas,AMR B,Suriname,97,97,94,85,93,73,85,90,88,86,85,83,91,86,69,73,82,84,85,82,79,87,85,72,61,61,84,65,73,83,70,78,73,75,71,17,39,0
2.2.24,Americas,AMR B,Trinidad and Tobago,93,86,89,96,91,85,92,92,94,91,91,89,93,95,88,87,91,90,88,90,88,88,84,86,87,83,93,70,59,72,68,42,32,10,0,0,0,0
2.2.25,Americas,AMR B,Uruguay,95,95,96,96,96,96,95,95,94,95,96,94,95,95,95,95,94,89,99,96,92,89,90,90,90,93,96,97,82,72,88,82,59,66,65,52,55,50
