geoid,geoname,sumlev,description,est_12,est_13,est_14,est_15,est_16
18103,Miami,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13320,13210,13246,13164,13268
18105,Monroe,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,53894,53914,53778,54165,54278
18107,Montgomery,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,14611,14590,14574,14637,14852
18109,Morgan,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,25718,25621,25456,25609,25655
18111,Newton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5338,5374,5327,5401,5482
18113,Noble,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,17706,17722,17703,18101,18013
18115,Ohio,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,2451,2422,2445,2389,2427
18117,Orange,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,7637,7688,7618,7648,7720
18119,Owen,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8641,8552,8539,8553,8581
18121,Parke,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6039,5893,6128,5995,6150
18123,Perry,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,7499,7411,7356,7282,7318
18125,Pike,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5272,5149,5093,4994,4957
18127,Porter,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,61312,61502,61693,62103,62429
18129,Posey,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10063,10050,10178,10098,10017
18131,Pulaski,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5071,5058,5134,5184,5174
18133,Putnam,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12493,12414,12557,12649,12962
18135,Randolph,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10324,10429,10514,10529,10483
18137,Ripley,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10694,10761,10871,10921,10981
18139,Rush,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6798,6874,6920,6942,6747
18141,St. Joseph,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,101201,101947,101759,102005,100861
18143,Scott,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9028,8914,8973,8962,8844
18145,Shelby,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,17124,17171,17315,17193,17309
18147,Spencer,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8084,7984,7917,7964,8065
18149,Starke,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9040,8964,9009,8789,8727
18151,Steuben,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13668,13514,13409,13485,13451
18153,Sullivan,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,7878,7764,7720,7639,7713
18155,Switzerland,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,4016,4099,4065,4071,4102
18157,Tippecanoe,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,65837,66667,66921,67756,68172
18159,Tipton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6665,6622,6479,6394,6401
18161,Union,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,2983,2943,2949,2963,2917
18163,Vanderburgh,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,74301,73963,74365,74217,74313
18165,Vermillion,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6520,6466,6491,6538,6600
18167,Vigo,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,39728,39597,39769,40315,40753
18169,Wabash,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12817,12703,12777,12901,12767
18171,Warren,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,3246,3283,3325,3305,3327
18173,Warrick,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,22406,22454,22675,22883,23290
18175,Washington,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10757,10631,10512,10542,10540
18177,Wayne,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,28202,28185,27891,27168,26664
18179,Wells,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10807,10904,10952,10831,10828
18181,White,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9601,9541,9458,9513,9670
18183,Whitley,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13086,13094,13091,13152,13232
